UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
FINTECHNA,@fintechna,2015-04-01T23:45:28.000Z,"FINTECHNA
@fintechna
·
2 Apr 2015","RT syscoin: Can a #decentralized #bitcoin blockchain based Social Network replace #facebook and #twitter? 
http://buff.ly/1yy9CBh  #fintec…
2",,,,2,[],https://twitter.com/fintechna/status/583414908622102530
Greek Reporter,@GreekReporter,2015-04-01T21:42:12.000Z,"Greek Reporter
@GreekReporter
·
2 Apr 2015","This http://goo.gl/YdDpQT was our #AprilFools joke, 
@yanisvaroufakis
 has noted the flaws of #Bitcoin-->http://goo.gl/a34y9Y #MadnessEnds
2
3",,,2,3,[],https://twitter.com/GreekReporter/status/583383889202253824
McGillCryptoClub,@McGillCrypto,2015-04-01T23:26:56.000Z,"McGillCryptoClub
@McGillCrypto
·
2 Apr 2015","Hey #bitcoin community - just letting everyone know the 
@McGillU
 #bitcoinairdrop is happening soon
1
2",,,1,2,[],https://twitter.com/McGillCrypto/status/583410246380564480
ThePokerJournalist,@PokerJournalist,2015-04-01T23:24:36.000Z,"ThePokerJournalist
@PokerJournalist
·
2 Apr 2015","Opinion: The big Bitcoin question
2",,,,2,[],https://twitter.com/PokerJournalist/status/583409660075442176
Will Bancroft,@billybankers,2015-04-01T23:58:33.000Z,"Will Bancroft
@billybankers
·
2 Apr 2015","Coolest #Bitcoin tipping plugin I've seen! #Crowdfunding now on 
@Indiegogo
 now! https://indiegogo.com/projects/protip-peer-to-peer-tipping-for-the-web… #btc #chrome #google #cryptocurrency
1
1",,1,1,,[],https://twitter.com/billybankers/status/583418204288131073
Maria Astrejo,@MAstrejo,2015-04-01T22:35:58.000Z,"Maria Astrejo
@MAstrejo
·
2 Apr 2015","""New alternatives to eBay? Read about #bitcoin http://kcy.me/1rbm9"" Great mention to #ethereum 
@ethereumproject
 #ethereum
2",,,,2,[],https://twitter.com/MAstrejo/status/583397419230068736
Luke Rudkowski,@Lukewearechange,2015-04-01T22:21:31.000Z,"Luke Rudkowski
@Lukewearechange
·
2 Apr 2015","Is there a bitcoin company that can help me do commission based sales of products?
2
2
4",,2,2,4,[],https://twitter.com/Lukewearechange/status/583393782973890560
Vassilis K. Fouskas,@VassilisKFouska,2015-04-01T21:24:16.000Z,"Vassilis K. Fouskas
@VassilisKFouska
·
2 Apr 2015","Varoufakis: ""Greece to Adopt the Bitcoin If Eurogroup Doesn't Give Us a Deal"" | http://GreekReporter.com http://shar.es/1gvM7Q via 
@sharethis
1",,,,1,[],https://twitter.com/VassilisKFouska/status/583379375472672768
Paystand,@paystand,2015-04-01T23:01:39.000Z,"Paystand
@paystand
·
2 Apr 2015",".@MobilePayToday -> PayStand debuts mPOS product with bitcoin acceptance  http://mobilepaymentstoday.com/news/paystand-debuts-mpos-product-with-bitcoin-acceptance/…
1",,,,1,[],https://twitter.com/paystand/status/583403884955074561
CNBC International,@CNBCi,2015-04-01T23:39:17.000Z,"CNBC International
@CNBCi
·
2 Apr 2015","Public trading could begin next week for bitcoin fund: http://cnb.cx/1CPgG1F
9
1",,,9,1,['https://pbs.twimg.com/media/CBizWimUkAA2Vdk?format=jpg&name=small'],https://twitter.com/CNBCi/status/583413352732340224
CoinDesk,@CoinDesk,2015-04-01T22:55:10.000Z,"CoinDesk
@CoinDesk
·
2 Apr 2015","Huffington Post – ""Reports of Bitcoin's Death Have Been Greatly Exaggerated"" (With Apologies to Mark Twain) http://coinde.sk/1BPWRDb
26
8",,,26,8,[],https://twitter.com/CoinDesk/status/583402253450665984
Eric Burroughs,@ericbeebo,2015-04-01T21:53:05.000Z,"Eric Burroughs
@ericbeebo
·
2 Apr 2015","That Greece/Varoufakis/Bitcoin story was a April Fool's gag right?
2",📈,,,2,[],https://twitter.com/ericbeebo/status/583386629307518976
CNET Deals,@CNETDeals,2015-04-01T23:15:08.000Z,"CNET Deals
@CNETDeals
·
2 Apr 2015","Seagate 4TB Expansion External Hard Drive for $90 w/code Bitcoin + free shipping http://cnet.co/1xZxinc
1
1",💸,,1,1,[],https://twitter.com/CNETDeals/status/583407278222606337
SoZialia,@SoZialia,2015-04-01T20:48:41.000Z,"SoZialia
@SoZialia
·
2 Apr 2015",Feds Nabbed For Big Bitcoin Heist Involving Gox And Silk Road http://tcrn.ch/1InN0sq,,,,,[],https://twitter.com/SoZialia/status/583370419454906368
Edge,@EdgeWallet,2015-04-01T20:58:15.000Z,"Edge
@EdgeWallet
·
2 Apr 2015","RT 
@GaltsGirl
: Bitcoin wallet of choice ----> 
@Airbitz
 

Go do that.
2
1",,,2,1,[],https://twitter.com/EdgeWallet/status/583372829199982593
CRYPTOCOINTALK,@cryptocointalk,2015-04-01T23:53:36.000Z,"CRYPTOCOINTALK
@cryptocointalk
·
2 Apr 2015","The ""French Maid,"" and other wacky details of a #bitcoin #theft gone awry http://on.wsj.com/19Gv1SB via 
@WSJMoneyBeat
 #BTC $XBT
wsj.com
BitBeat: The Wacky Details of a Bitcoin Theft Gone Awry
The criminal complaint against two former FBI agents accused of pilfering more than $1 million worth of bitcoin reads like the plot of a black comedy.
6",,,6,,['https://pbs.twimg.com/card_img/1502101611141017601/vSXbYLYl?format=jpg&name=small'],https://twitter.com/cryptocointalk/status/583416958240063489
Rick Wilson,@TheRickWilson,2015-04-01T22:41:13.000Z,"Rick Wilson
@TheRickWilson
·
2 Apr 2015","Do they take Bitcoin? RT 
@inside
  Exotic dancers at Manhattan's Rick's Cabaret awarded $15 million in unpaid wages http://bit.ly/1BRO3Ng
2
1
2",,2,1,2,[],https://twitter.com/TheRickWilson/status/583398739752132608
digitalundivided,@digundiv,2015-04-01T23:08:13.000Z,"digitalundivided
@digundiv
·
2 Apr 2015","Good Reads: Feds Nabbed For Big Bitcoin Heist Involving Gox And Silk Road http://digundivi.de/1xzxGZi
1
1",,,1,1,[],https://twitter.com/digundiv/status/583405536563089409
